band,barrier_free,capacity,card,charter,child,course,credit_card,english,free_drink,free_food,horigotatsu,karaoke,ktai_coupon,lat,lng,lunch,midnight,non_smoking,parking,party_capacity,pet,private_room,show,tatami,tv,wifi,budget.code,genre.code,large_area.code,large_service_area.code,middle_area.code,service_area.code,small_area.code
0,0,40,1,1,1,0,"[V,M,A,D,J, {'code': 'c12', 'name': 'Discover'}]",1,1,0,1,0,0,35.00240394,135.7653898,0,0,2,0,40,0,1,0,0,1,0,2500,居酒屋,Z022,SS20,Y432,SA22,X430
0,0,40,0,1,2,1,,1,0,0,0,0,0,35.00461286,135.7655463,1,0,2,0,40,0,1,0,1,0,0,1750,和食,Z022,SS20,Y432,SA22,X430
0,0,52,1,0,2,1,"[V,M,A,D,J]",1,1,0,0,0,1,35.00465455,135.766952,1,0,2,0,52,0,0,0,0,0,1,4500,焼肉・ホルモン,Z022,SS20,Y432,SA22,X430
0,0,40,1,1,1,1,"[V,M,A,D,J,G]",1,1,0,0,0,0,35.00072978,135.7693164,1,0,2,0,50,0,0,0,0,0,0,3500,居酒屋,Z022,SS20,Y432,SA22,X430
0,0,40,1,0,1,1,"[V,M,A,J]",1,1,1,0,0,0,35.00484924,135.7664224,1,0,2,0,44,0,0,0,0,0,1,2500,アジア・エスニック,Z022,SS20,Y432,SA22,X430
0,1,60,0,0,1,1,,1,1,0,0,0,0,35.00772367,135.7680693,1,0,2,0,60,0,0,0,0,0,0,1250,居酒屋,Z022,SS20,Y432,SA22,X430
0,1,56,1,1,2,1,"[V,M,A,D,J]",1,1,0,1,0,0,35.00877327,135.7676041,1,0,2,0,56,0,0,0,1,0,0,1750,和食,Z022,SS20,Y432,SA22,X430
0,0,62,1,0,1,1,"[V,M]",1,1,0,0,0,0,35.00266763,135.769978,0,1,2,0,20,0,1,0,1,0,未確認,3500,居酒屋,Z022,SS20,Y432,SA22,X430
0,0,30,1,1,0,1,"[V,M,A,D,J]",1,1,0,0,0,0,34.99978539,135.766958,0,0,0,0,30,0,0,0,0,1,1,1750,居酒屋,Z022,SS20,Y432,SA22,X430
0,0,40,1,0,1,1,"[V,M,A,D,J]",1,1,0,0,0,1,35.00263727,135.7664083,1,0,2,0,50,0,0,0,0,1,1,3500,カフェ・スイーツ,Z022,SS20,Y432,SA22,X430
1,1,120,1,0,1,1,"[V,M]",1,1,1,1,1,0,35.00658939,135.7694237,1,0,2,1,50,0,1,1,0,1,0,2500,居酒屋,Z022,SS20,Y432,SA22,X430
0,0,30,1,0,2,1,"[V,M,A,D,J,G]",0,0,0,0,0,0,35.00436222,135.7726385,1,0,2,0,20,0,0,0,1,0,0,1250,和食,Z022,SS20,Y432,SA22,X430
0,0,38,1,1,2,1,"[V,M,A,D,J, {'code': 'c12', 'name': 'Discover'}]",0,1,0,0,0,0,35.00455927,135.7664221,0,0,2,1,42,0,1,0,1,0,1,3500,焼肉・ホルモン,Z022,SS20,Y432,SA22,X430
0,0,380,1,0,1,1,"[V,M,A,J]",1,1,0,0,1,0,35.00658218,135.769782,0,0,2,0,120,0,1,0,1,1,0,2500,居酒屋,Z022,SS20,Y432,SA22,X430
0,0,50,1,1,2,1,"[V,M,A,D,J,G]",1,1,0,1,0,0,34.999756,135.7691006,1,0,2,0,30,0,0,0,1,0,0,3500,ダイニングバー・バル,Z022,SS20,Y432,SA22,X430
0,0,23,1,0,2,1,"[V,M,A]",1,1,0,0,0,0,34.99851331,135.7671231,1,0,2,0,,0,0,0,0,0,1,3500,ダイニングバー・バル,Z022,SS20,Y432,SA22,X430
0,0,16,1,0,1,1,"[V,M,A,D,J]",0,1,0,0,0,0,35.00719711,135.7699759,0,1,0,0,16,0,0,0,0,0,1,3500,ダイニングバー・バル,Z022,SS20,Y432,SA22,X430
0,0,31,0,0,1,0,,0,0,0,0,0,1,35.00797947,135.7676488,0,0,2,0,31,0,0,0,0,0,0,1250,韓国料理,Z022,SS20,Y432,SA22,X430
0,1,250,1,0,2,1,"[V,M]",1,1,1,1,0,0,35.00303897,135.7695469,1,0,1,1,250,1,1,0,0,1,1,2500,和食,Z022,SS20,Y432,SA22,X430
0,0,25,1,1,0,1,"[V,M,A,D,J, {'code': 'c12', 'name': 'Discover'}]",0,1,0,0,0,0,35.00547258,135.7698581,1,0,0,0,40,0,0,0,0,1,1,2500,ダイニングバー・バル,Z022,SS20,Y432,SA22,X430
0,0,42,1,0,1,1,"[V,M,A,J]",0,0,0,0,0,0,35.00293459,135.7720094,0,0,0,0,42,0,0,0,0,0,1,3500,ダイニングバー・バル,Z022,SS20,Y432,SA22,X430
0,0,67,1,0,2,1,"[V,M]",0,1,0,1,0,0,35.00394528,135.7706787,1,0,2,0,67,0,0,0,0,0,0,2500,居酒屋,Z022,SS20,Y432,SA22,X430
0,1,70,1,1,2,1,"[V,M,A,D,J, {'code': 'c12', 'name': 'Discover'}]",1,0,1,0,0,0,35.00293281,135.7672449,0,0,2,0,14,0,1,0,0,0,1,4500,和食,Z022,SS20,Y432,SA22,X430
1,1,60,1,0,1,1,"[V,M,A,D,J]",1,1,0,0,0,0,35.00428029,135.7728282,1,0,2,1,30,0,1,0,0,1,1,4500,各国料理,Z022,SS20,Y432,SA22,X430
0,1,1,1,0,2,1,"[V,M,A,D,J,G, {'code': 'c12', 'name': 'Discover'}]",1,0,0,0,0,1,35.00543813,135.769386,0,0,2,0,1,0,0,0,0,0,0,750,カフェ・スイーツ,Z022,SS20,Y432,SA22,X430
0,0,48,1,0,1,1,"[V,M,A,D,J]",1,1,0,0,0,0,35.0039371,135.7653653,1,0,2,0,20,0,0,0,0,0,0,8500,洋食,Z022,SS20,Y432,SA22,X430
0,0,18,1,0,1,1,"[V,M,A,D,J]",0,0,0,0,0,1,35.00210734,135.7666494,1,0,2,0,18,0,0,0,0,0,0,8500,和食,Z022,SS20,Y432,SA22,X430
0,0,24,1,0,1,1,"[V,M,A,D,J]",1,0,0,0,0,1,35.00417491,135.7678561,1,0,2,0,,0,0,0,0,0,0,4500,和食,Z022,SS20,Y432,SA22,X430
0,0,100,1,0,2,1,"[V,M,A,D,J]",1,0,0,0,0,1,35.00338118,135.7709184,1,0,2,0,100,0,0,0,0,0,1,12500,和食,Z022,SS20,Y432,SA22,X430
0,0,32,1,1,1,1,"[V,M,A,D,J,G]",1,1,0,0,0,0,35.00632238,135.7652691,1,1,2,0,40,0,0,0,0,0,1,4500,イタリアン・フレンチ,Z022,SS20,Y432,SA22,X430
0,0,88,1,0,2,0,"[V,M,A,D,J,G, {'code': 'c12', 'name': 'Discover'}]",1,0,1,0,0,1,35.00558644,135.7689843,1,0,2,0,40,0,0,0,0,0,1,750,和食,Z022,SS20,Y432,SA22,X430
